Country,CPI,Latitude,Longitude
Afghanistan,149.9,33.93911,67.709953
Albania,119.05,41.153332,20.168331
Algeria,151.36,28.033886,1.659626
Andorra,,42.506285,1.521801
Angola,261.73,-11.202692,17.873887
Antigua and Barbuda,113.81,17.060816,-61.796428
Argentina,232.75,-38.416097,-63.616672
Armenia,129.18,40.069099,45.038189
Australia,119.8,-25.274398,133.775136
Austria,118.06,47.516231,14.550072
Azerbaijan,156.32,40.143105,47.576927
The Bahamas,116.22,25.03428,-77.39628
Bahrain,117.59,26.0667,50.5577
Bangladesh,179.68,23.684994,90.356331
Barbados,134.09,13.193887,-59.543198
Belarus,,53.709807,27.953389
Belgium,117.11,50.503887,4.469936
Belize,105.68,17.189877,-88.49765
Benin,110.71,9.30769,2.315834
Bhutan,167.18,27.514162,90.433601
Bolivia,148.32,-16.290154,-63.588653
Bosnia and Herzegovina,104.9,43.915886,17.679076
Botswana,149.75,-22.328474,24.684866
Brazil,167.4,-14.235004,-51.92528
Brunei,99.03,4.535277,114.727669
Bulgaria,114.42,42.733883,25.48583
Burkina Faso,106.58,12.238333,-1.561593
Burundi,182.11,-3.373056,29.918886
Ivory Coast,111.61,7.539989,-5.54708
Cape Verde,110.5,16.5388,-23.0418
Cambodia,127.63,12.565679,104.990963
Cameroon,118.65,7.369722,12.354722
Canada,116.76,56.130366,-106.346771
Central African Republic,186.86,6.611111,20.939444
Chad,117.7,15.454166,18.732207
Chile,131.91,-35.675147,-71.542969
China,125.08,35.86166,104.195397
Colombia,140.95,4.570868,-74.297333
Comoros,103.62,-11.6455,43.3333
Republic of the Congo,124.74,-0.228021,15.827659
Costa Rica,128.85,9.748917,-83.753428
Croatia,109.82,45.1,15.2
Cuba,,21.521757,-77.781167
Cyprus,102.51,35.126413,33.429859
Czech Republic,116.48,49.817492,15.472962
Democratic Republic of the Congo,133.85,-4.038333,21.758664
Denmark,110.35,56.26392,9.501785
Djibouti,120.25,11.825138,42.590275
Dominica,103.87,15.414999,-61.370976
Dominican Republic,135.5,18.735693,-70.162651
Ecuador,124.14,-1.831239,-78.183406
Egypt,288.57,26.820553,30.802498
El Salvador,111.23,13.794185,-88.89653
